ἃ	NULL
ἅ	NULL
ἐ	NULL
ἑ	lex113899.1_ἕ
ἓ	lex113899.1_ἕ
ἔ	lex112884.1_ἒ
ἕ	lex113899.1_ἕ
Ἕ	lex113899.1_ἕ
ἠ	NULL
ἡ	lex120807.1_ὁ
ἢ	NULL
ἣ	NULL
ἤ	NULL
ἥ	NULL
ἦ	NULL
ἧ	NULL
Ἡ	lex120807.1_ὁ
ἰ	NULL
ἱ	NULL
ὀ	NULL
ὁ	lex120807.1_ὁ
ὃ	NULL
ὄ	NULL
ὅ	NULL
ὡ	NULL
ὢ	lex126551.1_ὦ
ὤ	lex126551.1_ὦ
ὥ	lex122049.1_ὅς
ὦ	NULL
ὧ	NULL
ὰ	NULL
ά	NULL
ὲ	NULL
έ	NULL
ὴ	NULL
ή	NULL
ὸ	NULL
ό	NULL
ὺ	NULL
ᾐ	NULL
ᾔ	NULL
ᾕ	NULL
ᾖ	lex23940.1_εἰμί
ᾗ	NULL
ᾡ	NULL
ᾦ	lex121741.1_ὄις
ᾧ	lex122049.1_ὅς
ᾳ	NULL
ᾶ	NULL
᾿	NULL
ῃ	NULL
ῄ	NULL
ῆ	NULL
ῇ	NULL
῎	NULL
ῖ	NULL
῞	NULL
ῤ	NULL
ῥ	NULL
ῳ	NULL
ῶ	NULL
ῷ	NULL
῾	NULL
’	NULL
“	NULL
„	NULL
‡	NULL
⁚	NULL
⋅	NULL
γ'	lex15916.1_γε
δ'	lex17379.1_δέ
θ'	NULL
κ'	lex98755.1_ἄν1
μ'	NULL
ρ'	NULL
σ'	NULL
τ'	NULL
χ'	lex98755.1_ἄν1
ῥ'	lex99094.1_ἄρα
δ'¨ἴαχε	NULL
θ'⁚	NULL
τ'ε	NULL
κ'ακ	NULL
τ'αὐτῷ	NULL
δ'ἔντεα	NULL
δ'αγόρευε	NULL
δ'ὰγανοῖς	NULL
τ'ἀκριβὲς	NULL
τ'ἀκριβοῦς	NULL
δ'ἀπεκόσμεον	NULL
ἀ'μφιπόλοισι	NULL
θ(εο)ν	NULL
θ*(εο)υ	NULL
τ//ῷ	lex74696.1_τις
ἲ¨ψ	lex117824.1_ἶψ
ἵ¨ν	lex113899.1_ἕ
ἵ¨ν'	lex117789.1_ἵνα
ἰ¨οί	NULL
ἱ¨ζε	NULL
ἵ¨ζε	lex117777.1_ἵζω
ἵ¨να	lex117789.1_ἵνα
Ί¨δην	NULL
ἱ¨μᾶς	NULL
ἴ¨τυς	lex117747.1_ἴτυς
